Ticker,Name,Exchange
KWDHUF=X,KWD/HUF,CCY
TRYEGP=X,TRY/EGP,CCY
EGPAUD=X,EGP/AUD,CCY
OMRCHF=X,OMR/CHF,CCY
BRLUYU=X,BRL/UYU,CCY
SZLCHF=X,SZL/CHF,CCY
BOBARS=X,BOB/ARS,CCY
GBPANG=X,GBP/ANG,CCY
ZARCNY=X,ZAR/CNY,CCY
LVLUSD=X,LVL/USD,CCY
EGPHUF=X,EGP/HUF,CCY
SGDTND=X,SGD/TND,CCY
ILSCHF=X,ILS/CHF,CCY
SARLTL=X,SAR/LTL,CCY
DZD=X,USD/DZD,CCY
TWDSAR=X,TWD/SAR,CCY
HKDMYR=X,HKD/MYR,CCY
GBPSTD=X,GBP/STD,CCY
ILSLKR=X,ILS/LKR,CCY
THBBRL=X,THB/BRL,CCY
NZDPKR=X,NZD/PKR,CCY
EURUGX=X,EUR/UGX,CCY
GBPNIO=X,GBP/NIO,CCY
OMRNOK=X,OMR/NOK,CCY
THBVEF=X,THB/VEF,CCY
CNYTWD=X,CNY/TWD,CCY
MADEGP=X,MAD/EGP,CCY
HUFRUB=X,HUF/RUB,CCY
GBPKRW=X,GBP/KRW,CCY
LYDCHF=X,LYD/CHF,CCY
CADCHF=X,CAD/CHF,CCY
JPYCUP=X,JPY/CUP,CCY
ZARHUF=X,ZAR/HUF,CCY
