Ticker,Name,Exchange
BQT3.AX,Base Load Electricity Futures Q,ASX
NSQJ1316.NYM,NSQ Future APR 16 2013,NYM
T7U1306.NYM,Tennessee 500 Leg Natural Gas S,NYM
P4Q13.NYM,ISO New England South East Mass,NYM
W2G13.NYM,ISO New England Maine zone 5mw ,NYM
EYDAP4C.AT,EYDAP MAR 14       ,ATH
TK7Z1329.NYM,TK7 Future DEC 29 2013 Trading ,NYM
MPZ15.NYM,New York Harbor Heating Oil Cal,NYM
MIBFTB-KW0613-C.PH,,
X3J1317.NYM,X3 Future APR 17 2013,NYM
Y9J1312.NYM,Y9 Future APR 12 2013,NYM
MIXM14-C.PH,,
JMM13.NYM,Pennsylvania-New Jersey-Marylan,NYM
YHFU1325.NYM,YHF Future SEP 25 2013,NYM
A7IM1327.NYM,A7I Future JUN 27 2013,NYM
HA2V13.CME,Weather Salt Lake City Weekly A,CME
VMLH16.NYM,"future for VML, March, 2016, tr",NYM
BQM3.AX,Base Load Electricity Futures Q,ASX
3VM1312.NYM,Gasoil 10ppm Cargoes CIF NWE vs,NYM
A6XM1314.NYM,A6X Future JUN 14 2013,NYM
NBZM16.NYM,"future for NBZ, June, 2016, tra",NYM
L6M13.NYM,PJM PSEG Zone Peak Calendar Mon,NYM
A1LV1314.NYM,A1L Future OCT 14 2013,NYM
ZGLJ1314.NYM,ZGL Future APR 14 2013,NYM
BYN15.NYM,"WTI-Brent Bullet Swap Futures,J",NYM
XXU15.NYM,San Juan Natural Gas Pipeline (,NYM
K2LK16.NYM,"future for K2L, May, 2016, trad",NYM
XHH17.NYM,Panhandle Natural Gas Pipeline ,NYM
QXG16.NYM,Eastern Rail CSX Coal Swap Futu,NYM
WOLQ1320.NYM,WOL Future AUG 20 2013,NYM
SXH13.CME,Snowfall Index (New York Centra,CME
S:VIS-C-K13-U13.PH,,XPH
SZH15.NYM,SONAT Basis Swap (Platts IFERC),NYM
SSK1315.NYM,Natural Gas Chicago Swing Futur,NYM
AI4V1322.NYM,AI4 Future OCT 22 2013,NYM
AWEH14.CBT,mini MSCI ACWI ex-US AWE 201403,CBT
D0F14.NYM,"future for D0, January, 2014, t",NYM
U8H1305.NYM,CIG Rockies Natural Gas Swing S,NYM
ZMZ15.CBT,"Soybean Meal Futures,Dec-2015",CBT
NZK17.NYM,Transco Zone 6 Basis Swap Futur,NYM
VIS-PZ17-C.PH,,
XERQ13.NYM,XER Future AUG 2013,NYM
HXGH13.CME,Weather Monthly Heating Degree ,CME
OPON1315.NYM,OPO Future JUL 15 2013,NYM
SHH1314.NYM,Dominion Appalachia Swing Swap ,NYM
JNX1311.NYM,New York Hub Zone J Peak Daily ,NYM
